Sample,"Fuc per glycan",Intensity
NP1,0,7.53081981536099
NP1,1,24.2182518875423
NP1,2,12.066976237475
NP1,3,16.5630186748666
NP1,4,44.2972171335659
NP1,5,36.7698864492364
NP1,6,33.9675641988142
NP1,7,16.0490448281366
NP2,1,9.02395790965016
NP2,2,16.2625713437217
NP2,3,40.3291252753255
NP2,4,50.9509992243444
NP2,5,33.685620555506
NP3,0,8.33406867172792
NP3,1,14.3914391097964
NP3,2,15.0366761144643
NP3,3,38.7418812305186
NP3,4,17.4212370221293
NP3,5,5.20179234895729
NP4,0,1.18417845644226
NP4,1,3.86824312946566
NP4,2,3.26545660142029
NP4,3,13.9556148067877
NP4,4,23.8222781745073
NP4,5,10.4742214117348
NP4,6,4.1048302388885
P1,0,57.488211487382
P1,1,165.712026491459
P1,2,161.200090094904
P1,3,187.301463480456
P1,4,56.2853849036056
P2,0,54.5023713073803
P2,1,161.599784896247
P2,2,186.274975148145
P2,3,151.544523314991
P2,4,17.4179545871924
P2,5,1.58573962450195
P3,0,43.3987658952275
P3,1,153.762138115963
P3,2,117.458397050922
P3,3,57.9901889577421
P4,0,310.726233833573
P4,1,666.061168956486
P4,2,646.165913864961
P4,3,709.719567326107
P4,6,61.5042852869447
P4,7,33.0698578042241
P5,0,894.8285793944
P5,1,1497.62950374268
P5,2,144.734011009683
P5,3,63.3669130666567
P5,5,10.7614434118983
P6,0,306.852134064308
P6,1,710.223341466082
P6,2,399.039557825898
P6,3,210.166315198402
P6,4,1.23610469045875
